filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
genrenew30\bollypop\bp01.mp3,0.24159448,0.08745727,0.21892814,0.00464638,1678.991074,305488.2639,2164.432279,263334.4402,3390.596164,2526410.425,0.065078594,0.000707662,-0.000136365,0.04148774,-0.000614259,0.003634256,123.046875,-102.64428,3150.0073,127.33266,958.923,4.819038,221.0751,6.9801784,209.14188,-0.153074,178.89209,-10.29962,97.57577,-16.27803,99.73578,-8.570533,102.23611,-15.483148,95.7325,0.8789468,110.28313,-3.2353916,95.41309,2.7683237,80.60531,-10.41261,95.41887,-2.161463,87.65884,-11.273636,90.60176,-10.305208,76.305374,-11.443533,69.434975,-3.802142,72.682205,-11.324521,76.27386,-0.80488896,69.67,bollypop
genrenew30\bollypop\bp02.mp3,0.307114,0.08885915,0.2627786,0.005449798,2098.917319,309715.6936,2396.682196,137869.4127,4608.472133,2138854.518,0.098775669,0.001462923,-3.43E-05,0.03814729,-0.001243563,0.016346555,123.046875,-41.142784,954.3891,102.378365,475.23172,4.371046,239.20181,24.713987,110.297066,7.0980024,117.41914,10.827485,79.03302,-5.567119,131.2158,16.435614,124.7269,-8.828181,118.7419,5.213215,121.46319,4.012924,94.72678,-2.533342,55.983196,-3.9147117,55.874615,-0.46885675,46.70079,-2.9659402,36.774002,-1.2991314,45.959038,-3.219923,75.650894,-0.16979323,70.9337,0.4280576,89.49793,7.8790226,84.337036,bollypop
genrenew30\bollypop\bp03.mp3,0.2419581,0.092771195,0.19880298,0.005972069,2122.687875,471504.9196,2484.927066,214565.483,4774.129465,3067540.808,0.078698315,0.001184406,4.93E-07,0.03504667,-2.90E-06,0.003285773,89.10290948,-100.794106,1785.1854,100.95457,579.5871,8.901858,339.6622,15.159802,195.25912,-8.933009,226.22954,-11.114163,100.33038,-18.62478,133.78006,-0.08721248,93.90633,-14.518263,88.77182,-4.6600885,74.45588,-4.3531327,118.27813,-11.365999,48.2085,-6.52173,64.54735,-1.6537902,88.93794,-5.3166804,76.99602,-8.949913,99.45754,-7.1600294,69.14324,-7.2877927,65.30759,-8.529854,69.85231,-10.060164,94.51893,bollypop
genrenew30\bollypop\bp04.mp3,0.24575599,0.092215136,0.22826593,0.005819084,2056.532032,433961.1711,2487.466595,180101.0938,4799.079314,2634545.457,0.074361228,0.001227263,-1.49E-05,0.041064937,-5.97E-05,0.007053709,89.10290948,-83.74158,2609.8362,103.42665,558.881,17.912807,207.21564,25.111776,202.6919,-4.242465,181.81517,3.6089435,89.4351,-12.738305,164.03749,6.270125,86.50704,-8.814034,99.636696,1.5258902,81.308426,3.796992,87.379684,-1.8065835,70.34941,0.26451048,94.54687,2.9012902,82.545654,2.2542567,79.17065,-4.014244,93.183136,-2.3163054,86.595566,-4.010129,67.16793,-3.9991164,74.36817,-7.861522,76.67819,bollypop
genrenew30\bollypop\bp05.mp3,0.24128275,0.09012343,0.1416114,0.003807102,2082.933162,1175373.565,2323.202779,469588.7826,4436.681505,4835807.355,0.086638176,0.005324638,-4.28E-06,0.01969853,-4.49E-05,0.001468332,112.3471467,-169.56311,7547.517,100.11487,1892.529,29.437023,807.3916,20.470066,363.6283,-7.683887,253.34856,14.502803,226.03087,-2.1305246,167.30742,-2.8176134,110.912186,-1.1389786,123.99712,2.4490845,213.79662,5.7568297,115.36784,0.45307815,118.945786,0.41382965,90.75261,3.277389,162.30841,-1.4953816,131.70753,-0.48448423,90.073685,-6.8258486,145.56462,2.3960586,124.465294,-8.854539,133.2576,3.3387594,187.6487,bollypop
genrenew30\bollypop\bp06.mp3,0.25696543,0.08686345,0.22405978,0.006082141,1923.194749,637452.3823,2449.487077,280893.3768,4340.56542,4505596.288,0.070306831,0.001741459,7.02E-06,0.04052775,1.32E-06,0.005985615,117.4538352,-106.83732,5395.889,104.703575,950.6438,31.669916,411.73712,25.369896,275.19522,5.0508265,327.7001,13.687306,100.42105,-2.5351925,146.70651,-2.4002452,98.26727,-6.8093014,100.23841,0.13607278,151.25539,-4.9621167,77.445244,-3.6175344,82.43437,-5.3488555,81.8301,-2.8987765,92.512955,-3.9003775,75.125046,4.6713567,94.96508,-3.987359,118.91128,4.1324496,85.007034,-6.188288,141.88228,4.2465043,106.933655,bollypop
genrenew30\bollypop\bp07.mp3,0.29689813,0.08985761,0.20240226,0.003633535,1984.418913,495228.8535,2388.597074,259149.893,4401.781716,3354173.261,0.07638238,0.001614464,-3.08E-06,0.029386237,8.84E-05,0.005910782,117.4538352,-84.424866,3807.6487,107.0559,730.69214,7.3240757,283.57248,21.32381,263.3442,5.4556003,265.09695,8.414538,162.89491,-7.5761847,126.66425,-5.1260037,110.93384,-5.618269,126.42635,-2.5387626,117.83904,-3.1662126,88.05998,0.30670393,82.355675,-4.4726515,74.417534,1.2026657,105.11196,-3.188195,75.748276,-0.90743387,56.767433,-6.038332,84.33725,2.912272,80.42733,-7.680906,86.643105,1.1363511,66.16515,bollypop
genrenew30\bollypop\bp08.mp3,0.21849234,0.08885483,0.188853,0.006272438,2146.786818,885012.5895,2684.148024,311051.0862,4929.728524,6078514.623,0.075185108,0.003667787,-7.70E-06,0.032881636,-2.57E-05,0.003179541,129.1992188,-132.22899,3538.7368,105.11965,929.8069,17.61393,327.79276,6.5943313,302.15445,13.941535,182.6202,-4.723066,150.77052,7.0184503,129.34587,-3.158107,138.69795,-5.067717,75.70978,2.9359946,85.41486,-8.58641,95.06709,-1.6055464,85.04923,-9.232554,129.94925,7.161045,144.59088,-0.584256,121.35522,6.0770783,110.02431,4.6718955,135.01042,7.0689135,186.21065,0.5485699,217.37306,4.7640142,135.57916,bollypop
genrenew30\bollypop\bp09.mp3,0.31448713,0.09353285,0.27512228,0.007099807,2710.444004,840729.7489,2977.678921,163158.1311,6514.877272,3633303.11,0.100666814,0.004948321,-8.65E-06,0.043272,-4.28E-05,0.018911472,64.59960938,-41.737343,1774.9528,83.77456,681.73,19.564224,319.66016,9.97401,190.53384,17.78864,195.93567,-1.6497445,220.08148,2.8244743,124.89858,0.7494847,79.538635,-11.744171,131.71722,9.641501,138.35446,-6.9589663,97.82911,4.990022,77.797745,-1.0794795,63.976513,0.73331696,67.19316,-0.6699555,78.4267,-1.264006,61.676517,-5.479863,60.248417,4.5915117,76.213,-6.1226506,64.84747,-2.0818696,54.62648,bollypop
genrenew30\bollypop\bp10.mp3,0.2891901,0.09041082,0.067768246,0.000598882,1969.186273,599727.8037,2464.141087,177201.8173,4455.373059,2884250.63,0.070157172,0.00313627,5.95E-07,0.004076468,1.57E-05,0.000392675,80.74951172,-207.9524,3629.654,105.72995,877.8963,15.883197,413.72263,20.906017,138.18045,8.047494,206.95564,6.5232487,136.90979,-3.2428193,153.99066,7.006579,117.53884,-7.8798633,85.752884,10.290734,163.96356,-1.505272,79.6454,4.034595,71.14275,-0.4923078,56.020336,3.603329,70.398605,-0.8801689,69.71025,2.0761273,56.218437,-4.2353115,41.05506,0.9332899,56.841103,-5.9199824,64.46432,2.5917475,62.42041,bollypop
